project_id,name,type,announced_date,planned_completion_date,actual_completion_date,affected_area_ids,source_url,source_accessed,notes
P01,Dubai Metro (Red Line),metro_rail,2005-05-29,2009-07-01,2009-09-09,330;350;368;390;526;341;378;300,https://gulfnews.com/business/dubai-monorail-contract-awarded-1.289286,2026-09-16,"announced = Gulf News report dated 2005-05-29 of the DURL contract award (a Gulf News timeline gives 30 May 2005); planned month precision: 'Completion of both phases has been scheduled for July 2009'; actual opening 9 Sept 2009 from https://gulfnews.com/uae/transport/timeline-dubai-metro-1.679101; areas: Red Line stations at Marsa Dubai (Dubai Marina), Al Thanyah Fifth (JLT), Al Barsha First (Mall of the Emirates), Burj Khalifa (Downtown), Business Bay, Trade Center First, Al Garhoud and Al Rashidiya"
P02,Route 2020 (Dubai Metro Red Line extension to Expo 2020),metro_rail,2016-06-29,2020-05-20,2021-01-01,445;485;458,https://www.thenationalnews.com/business/travel-and-tourism/contract-awarded-for-dubai-metros-route-2020-project-to-expo-site-1.189256,2026-09-16,"announced = contract award reported 2016-06-29; planned = 'Official operation of the service will begin on May 20, 2020'; actual = first public journey on Friday 1 Jan 2021 per https://gulfnews.com/uae/transport/watch-new-dubai-metro-route-2020---all-you-need-to-know-1.76233325; areas: stations at The Gardens/Discovery Gardens/Al Furjan (Jabal Ali First), Jumeirah Golf Estates (Me'Aisem First) and Dubai Investments Park (Dubai Investment Park First)"
P03,Expo 2020 Dubai site,mixed_use,2013-11-27,2020-10-20,2021-10-01,462;458;459,https://www.thenationalnews.com/business/travel-and-tourism/victory-celebrations-in-paris-as-dubai-wins-vote-to-host-expo-2020-1.287140,2026-09-16,"announced = Dubai won the BIE vote on 2013-11-27; planned = 'October 20, 2020' per https://www.thenationalnews.com/uae/dubai-expo-2020-all-you-need-to-know-1.617933 (written before the Covid postponement); actual = 'Expo 2020 Dubai will open on October 1' per https://www.thenationalnews.com/uae/expo-2020/2021/09/14/expo-2020-dubai-tickets-and-opening-hours-plan-your-visit/; areas: the site is in Dubai South (Madinat Al Mataar) and adjoins Dubai Investment Park First and Second"
P04,Swiss International Scientific School in Dubai,school,2015-03-22,2015-09-01,2015-09-01,334,https://www.thenationalnews.com/uae/education/swiss-boarding-school-in-dubai-to-make-three-languages-its-focus-1.90390,2026-09-16,announced = earliest dated announcement found (the school may have been announced earlier); planned month precision: 'which will open in September'; actual month precision: 'The school opened its doors in September 2015' per https://www.khaleejtimes.com/uae/education/move-over-swiss-dubai-to-become-hub-for-boarding-schools; areas: campus 'at Al Jaddaf along Dubai Creek' (Al Jadaf)
P05,Dubai Metro Blue Line,metro_rail,2024-12-19,2029-09-01,,343;447;484;232;300;297;334,https://mediaoffice.ae/en/news/2024/december/19-12/rta-awards-dubai-metro-blue-line-contract,2026-09-16,"announced = contract award 2024-12-19 (the first date-bearing statement found; the line was approved in Nov 2023 with a year-only target); planned month precision: 'operations officially commencing in September 2029'; not open; announced after the data end; areas: stations at International City (Al Warsan First), Dubai Creek Harbour (Al Khairan First), Dubai Silicon Oasis (Nadd Hessa), Mirdif, Al Rashidiya, Al Warqa (Al Warqa First) and Al Jaddaf (Al Jadaf)"
P06,Dubai Metro Gold Line,metro_rail,2026-04-22,2032-09-09,,364;526;412;335;482;441;485,https://www.khaleejtimes.com/uae/transport/sheikh-mohammed-announces-dh34-billion-dubai-metro-gold-line-project,2026-09-16,"announced 2026-04-22; planned = 'scheduled for completion on September 9, 2032'; not open; announced after the data end; areas: City Walk (Al Wasl), Business Bay, Mohammed Bin Rashid City (Al Merkadh), Meydan/Nad Al Sheba (Nad Al Shiba First), Mohammed bin Rashid Gardens (Hadaeq Sheikh Mohammed Bin Rashid), JVC (Al Barsha South Fourth) and Jumeirah Golf Estates (Me'Aisem First)"
P07,Dubai Tram (Al Sufouh tramway phase 1),metro_rail,2008-04-29,2011-07-01,2014-11-11,330;371;307;410,https://www.alstom.com/press-releases-news/2008/4/the-dubai-al-safooh-tramway-is-awarded-to-alstom,2026-09-16,"announced = Alstom contract-award release of 29 Apr 2008; planned precision: year ('planned to enter into commercial service by 2011'); actual = 'On 11 November ... inaugurated the Dubai Tram' per https://www.alstom.com/press-releases-news/2014/11/alstoms-tramway-system-starts-operation-on-the-worlds-first-100-catenary-free-line; areas: tram stops at Dubai Marina/JBR (Marsa Dubai), Media City/Knowledge Village/Al Sufouh (Al Safouh Second and First) and the Palm Jumeirah monorail interchange (Palm Jumeirah); DLD nearest_metro values for these stops fall in exactly these areas"
P08,Nakheel Mall (Palm Jumeirah Mall),mall,2014-05-27,2016-07-01,2019-11-28,410,https://www.thenationalnews.com/business/nakheel-awards-contract-to-build-palm-jumeirah-mall-1.245961,2026-09-16,"announced = Dh1.2bn construction contract award 27 May 2014 (earlier 2013 plans are mentioned in later articles but no dated page was found); planned precision: year ('The mall is expected to be completed in 2016.'); actual = 'officially opened ... today (Thursday, 28 November)' per https://www.nakheel.com/en/media-centre/press-releases/news-detail/2019/11/18/nakheel-mall-opens-on-dubai-s-palm-jumeirah; areas: the mall is on the Palm Jumeirah trunk (Palm Jumeirah)"
P09,Dubai Hills Mall,mall,2017-08-20,2019-11-01,2022-02-17,482,https://www.emaar.com/en/press-release-listing/emaar-launches-dubai-hills-mall-the-citys-newest-regional-mall-in-dubai-hills-estate-a-joint-venture-with-meraas,2026-09-16,"announced = Emaar launch release 20 Aug 2017; planned precision: part-year ('scheduled to open late-2019'); actual = 'opened to the public at 10am on Thursday' per https://www.thenationalnews.com/lifestyle/things-to-do/2022/02/17/dubai-hills-mall-is-now-open-im-really-really-excited/ (dated 17 Feb 2022); areas: Dubai Hills Estate, whose DLD master_project rows all fall in Hadaeq Sheikh Mohammed Bin Rashid"
P10,Dubai Parks and Resorts (Jebel Ali theme parks),park,2012-11-27,2014-07-01,2016-10-31,284;453;480;481;522,https://www.thenationalnews.com/business/travel-and-tourism/five-theme-parks-for-dubai-in-latest-dh10-billion-mega-project-1.450001,2026-09-16,"announced = Sheikh Mohammed approved five theme parks at Jebel Ali (article 27 Nov 2012); planned precision: year (anchor Dubai Adventure Studios park 'expected to be completed by 2014'); actual = first park open, 'Legoland Dubai: October 31, 2016' per https://www.khaleejtimes.com/uae/watch-shaikh-mohammed-inaugurates-dubai-parks-and-resorts; areas: the DLD residential areas whose nearest_landmark is Dubai Parks and Resorts (Jabal Ali, Saih Shuaib 2, Saih Shuaib 1, Hessyan Second, Hessyan First); industrial areas excluded"
P11,Dubai Frame (Zabeel Park),park,2013-11-21,2015-10-01,2018-01-01,366;271,https://www.khaleejtimes.com/uae/construction-of-dubai-frame-to-start-in-december,2026-09-16,"announced = Dubai Municipality construction announcement 21 Nov 2013 (earliest dated page found); planned precision: part-year ('expected to be ready by the second half of 2015'; second half mapped to its midpoint 1 Oct); actual = 'Dubai Frame opens to the public on January 1, 2018' per https://www.thenationalnews.com/uae/dubai-frame-opens-to-public-on-january-1-1.691139; areas: Zabeel Park lies in Al Kifaf and adjoins Al Karama"
P12,Dragon Mart 2 (Dragon Mart extension),mall,2012-06-29,2013-08-01,2015-11-01,343,https://www.khaleejtimes.com/business/nakheel-awards-contracts-for-dh1b-dragon-mart-expansion,2026-09-16,announced = Nakheel contract award reported 29 Jun 2012; planned precision: quarter ('On completion of the expansion in 2013 third quarter'); actual month precision: Geant 'opened for business on Tuesday' per https://www.thenationalnews.com/business/nakheel-triples-retail-space-in-dragon-mart-with-opening-of-extension-1.29913 (dated 10 Nov 2015); areas: Dragon Mart is in International City (Al Warsan First)
P13,City Centre Me'aisem,mall,2014-03-03,2015-07-01,2015-09-01,485,https://www.thenationalnews.com/business/tecom-and-maf-to-build-mall-in-dubai-s-international-media-production-zone-1.313614,2026-09-16,"announced = Tecom and Majid Al Futtaim plan reported 3 Mar 2014; planned precision: year ('marked for completion next year' in a 2014 article, i.e. 2015); actual = 'Majid Al Futtaim on Tuesday opened doors' in https://www.khaleejtimes.com/business/majid-al-futtaim-opens-sixth-city-centre-in-uae dated Wednesday 2 Sep 2015, so Tuesday 1 Sep 2015; areas: the mall is in Me'aisem (IMPZ), DLD Me'Aisem First"
P14,"Coca-Cola Arena (Dubai Arena, City Walk)",mixed_use,2016-11-07,2018-11-01,2019-06-06,364,https://www.thenationalnews.com/uae/dubai-to-build-largest-indoor-arena-in-region-to-seat-20-000-1.171581,2026-09-16,"entertainment venue filed as mixed_use (no dedicated type); announced = article 7 Nov 2016; planned precision: part-year ('expected to be completed by the end of 2018'); actual = 'The Coca-Cola Arena opened in Dubai on June 6' per https://www.thenationalnews.com/arts/dubai-s-coca-cola-arena-a-guide-to-getting-there-where-to-sit-eat-pray-and-more-1.872714 (dated 11 Jun 2019); areas: next to City Walk, whose DLD rows fall in Al Wasl"
P15,Dubai Safari Park,park,2012-05-14,2014-11-01,2017-12-12,299;343,https://www.thenationalnews.com/uae/dubai-zoo-animals-will-be-relocated-to-open-safari-1.391662,2026-09-16,"announced = Dubai Municipality plan reported 14 May 2012; planned precision: part-year ('hoped the Dubai Safari would be ready by the end of 2014'); actual = 'The park opened its doors on December 12, 2017' per https://gulfnews.com/uae/dubai-safari-turns-5-welcomes-153-newborns-of-endangered-animals-1.92653437; areas: the park is in Al Warqa 5 (not a DLD area), so the adjoining Al Warqa Fourth and, across Al Awir Road near Dragon Mart, Al Warsan First"
